path,module,is_test,has_main_guard,cli_frameworks,static_inbound_count,non_test_static_inbound_count,static_outbound_count,workflow_reference_count,dynamic_import_indicator_count,execution_reference_count,test_reference_count,supported_root_count,reachable_from_supported_static_root,zero_static_inbound,authority_profile,disposition
domain/_current_shadow_price_records.py,domain._current_shadow_price_records,False,False,,10,6,3,0,0,0,4,1,True,False,UNKNOWN,UNCLASSIFIED
domain/_current_shadow_price_types.py,domain._current_shadow_price_types,False,False,,0,0,3,0,0,0,0,0,False,True,UNKNOWN,UNCLASSIFIED
domain/_current_shadow_quote_binding.py,domain._current_shadow_quote_binding,False,False,,14,9,11,0,0,0,5,1,True,False,UNKNOWN,UNCLASSIFIED
domain/_current_shadow_sportybet_catalog_fanout_reconciliation_base.py,domain._current_shadow_sportybet_catalog_fanout_reconciliation_base,False,False,,1,1,5,0,0,0,0,1,True,False,UNKNOWN,UNCLASSIFIED
domain/_current_shadow_sportybet_catalog_fanout_reconciliation_candidate_local.py,domain._current_shadow_sportybet_catalog_fanout_reconciliation_candidate_local,False,False,,1,1,5,0,0,0,0,1,True,False,UNKNOWN,UNCLASSIFIED
domain/_forward_calibration_contracts.py,domain._forward_calibration_contracts,False,False,,6,5,3,0,0,0,1,1,True,False,UNKNOWN,UNCLASSIFIED
domain/_forward_calibration_fit.py,domain._forward_calibration_fit,False,False,,6,3,5,0,0,0,3,1,True,False,UNKNOWN,UNCLASSIFIED
domain/_forward_calibration_hardening.py,domain._forward_calibration_hardening,False,False,,2,1,2,0,0,0,1,0,False,False,UNKNOWN,UNCLASSIFIED
domain/_forward_calibration_projection.py,domain._forward_calibration_projection,False,False,,6,3,6,0,0,0,3,1,True,False,UNKNOWN,UNCLASSIFIED
domain/_goal_score_contracts.py,domain._goal_score_contracts,False,False,,5,5,1,0,0,0,0,1,True,False,UNKNOWN,UNCLASSIFIED
domain/_goal_score_evaluation.py,domain._goal_score_evaluation,False,False,,3,2,2,0,0,0,1,1,True,False,UNKNOWN,UNCLASSIFIED
domain/_goal_score_models.py,domain._goal_score_models,False,False,,4,4,2,0,0,0,0,1,True,False,UNKNOWN,UNCLASSIFIED
domain/_goal_score_training_sources.py,domain._goal_score_training_sources,False,False,,1,1,4,0,0,0,0,1,True,False,UNKNOWN,UNCLASSIFIED
domain/_historical_asof_features_impl.py,domain._historical_asof_features_impl,False,False,,2,1,0,0,0,0,1,1,True,False,UNKNOWN,UNCLASSIFIED
domain/_historical_training_coverage_impl.py,domain._historical_training_coverage_impl,False,False,,0,0,2,0,0,0,0,0,False,True,UNKNOWN,UNCLASSIFIED
domain/_historical_training_coverage_post_hardening.py,domain._historical_training_coverage_post_hardening,False,False,,0,0,1,0,0,0,0,0,False,True,UNKNOWN,UNCLASSIFIED
domain/_historical_training_coverage_row_issuance.py,domain._historical_training_coverage_row_issuance,False,False,,0,0,1,0,0,0,0,0,False,True,UNKNOWN,UNCLASSIFIED
domain/_market_router_context.py,domain._market_router_context,False,False,,4,3,2,0,0,0,1,0,False,False,UNKNOWN,UNCLASSIFIED
domain/_market_router_contracts.py,domain._market_router_contracts,False,False,,15,11,2,0,0,0,4,1,True,False,UNKNOWN,UNCLASSIFIED
domain/_market_router_v2_contracts.py,domain._market_router_v2_contracts,False,False,,4,3,3,0,0,0,1,1,True,False,UNKNOWN,UNCLASSIFIED
domain/_portfolio_optimizer_v2_direct_provider_contracts.py,domain._portfolio_optimizer_v2_direct_provider_contracts,False,False,,5,3,4,0,0,0,2,1,True,False,UNKNOWN,UNCLASSIFIED
domain/_price_all_contracts.py,domain._price_all_contracts,False,False,,17,9,8,0,0,0,8,1,True,False,UNKNOWN,UNCLASSIFIED
domain/accumulator_optimizer.py,domain.accumulator_optimizer,False,False,,4,1,8,0,0,0,3,0,False,False,UNKNOWN,UNCLASSIFIED
domain/accumulator_priority.py,domain.accumulator_priority,False,False,,3,1,3,0,0,0,2,1,True,False,UNKNOWN,UNCLASSIFIED
domain/current_all_market_shadow_probability_settlement.py,domain.current_all_market_shadow_probability_settlement,False,False,,5,1,11,0,0,0,4,1,True,False,UNKNOWN,UNCLASSIFIED
domain/current_direct_provider_canonical_market_mapping_rebind.py,domain.current_direct_provider_canonical_market_mapping_rebind,False,False,,6,4,5,0,0,0,2,1,True,False,UNKNOWN,UNCLASSIFIED
domain/current_direct_provider_live_quote_mapping_consumption.py,domain.current_direct_provider_live_quote_mapping_consumption,False,False,,4,2,4,0,0,0,2,1,True,False,UNKNOWN,UNCLASSIFIED
domain/current_fotmob_durable_fresh_history_prefix.py,domain.current_fotmob_durable_fresh_history_prefix,False,False,,2,1,6,0,0,0,1,2,True,False,UNKNOWN,UNCLASSIFIED
domain/current_fotmob_fixture_candidate_adapter.py,domain.current_fotmob_fixture_candidate_adapter,False,False,,7,4,4,0,0,0,3,2,True,False,UNKNOWN,UNCLASSIFIED
domain/current_fotmob_fixture_review_policy.py,domain.current_fotmob_fixture_review_policy,False,False,,8,3,3,0,0,0,5,2,True,False,UNKNOWN,UNCLASSIFIED
domain/current_fotmob_latest_durable_fresh_history.py,domain.current_fotmob_latest_durable_fresh_history,False,False,,14,9,6,0,0,0,5,2,True,False,UNKNOWN,UNCLASSIFIED
domain/current_fotmob_provider_native_qualification.py,domain.current_fotmob_provider_native_qualification,False,False,,5,1,3,0,0,0,4,2,True,False,UNKNOWN,UNCLASSIFIED
